2026-04-12 16:29:09.791598 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000257
2026-04-12 16:29:09.993765 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000173
2026-04-12 16:29:10.194918 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000090
2026-04-12 16:29:10.396297 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000045
2026-04-12 16:29:10.597885 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000168
2026-04-12 16:29:10.799660 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000285
2026-04-12 16:29:11.000924 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000153
2026-04-12 16:29:11.202542 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000178
2026-04-12 16:29:11.404193 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000215
2026-04-12 16:29:13.606984 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000348
2026-04-12 16:29:13.809138 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000302
2026-04-12 16:29:14.010527 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000058
2026-04-12 16:29:14.211959 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000061
2026-04-12 16:29:14.413475 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000185
2026-04-12 16:29:14.615105 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000008
2026-04-12 16:29:14.820255 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000150
2026-04-12 16:29:15.026268 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000068
2026-04-12 16:29:15.227597 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000189
2026-04-12 16:29:15.429167 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000167
2026-04-12 17:25:20.261987 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000135
2026-04-12 17:25:20.464457 | TYPE=IMPERSONATION | RESULT=REJECTED | LATENCY=0.000242
2026-04-12 17:25:20.666031 | TYPE=IMPERSONATION | RESULT=REJECTED | LATENCY=0.000121
